,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Percent Fatalities,Survivors,Year,Month,Day,DayOfWeek,DayOfYear
427,1937-02-09,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11.0,11.0,0.0,aircraft crashed san francisco bay approximately 2 miles offshore approach accidental jamming elevator controls result co pilot microphone inadvertently dropped lodged elevator control column seat rail way crew unable prevent rapid descent airplane first accident involving dc 3,100.0,0.0,1937,2,9,1,40
428,1937-02-19,13:40,"McPherson Ranges, Queensland, Australia",Airlines of Australia,,Brisbane - Sidney,Stinson Model A,VH-UHH,1926,7.0,5.0,0.0,nan,71.42857142857143,2.0,1937,2,19,4,50
429,1937-03-12,,"Bathurst, Gambia",Deutsche Lufthansa,,"Las Palmas, Canary Islands - Bathhurst, Gambia",Heinkel He-111V2,D-ALIX,715,4.0,4.0,0.0,german mail plane crashed swamp,100.0,0.0,1937,3,12,4,71
430,1937-03-24,,"Near Ouroux, France",Imperial Airways,,"Southhampton, England - Alexandria, Egypt",Short  S-23 (flying boat),G-ADVA,S-818,6.0,5.0,0.0,crashed mountainside snowstorm,83.33333333333334,1.0,1937,3,24,2,83
431,1937-03-25,18:40,"Clifton, Pennsylvania",Trans Continental and Western Air,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13.0,13.0,0.0,crashed attempting land heavy icing rendered plane uncontrollable,100.0,0.0,1937,3,25,3,84
432,1937-03-26,,"Wetnum, Germany",Deutsche Lufthansa,,,Junkers JU-52/3m,D-UPOZ,4207,6.0,2.0,0.0,engine failure,33.33333333333333,4.0,1937,3,26,4,85
433,1937-05-06,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97.0,35.0,1.0,airship hindenburg caught fire burned moored lakehurst new jersey possible causes statidischarge ignited leaking hydrogen sabotage theorized sudden turn landing caused steel cable snap punctured one hydrogen airbags thereafter mooring ropes dropped ground cage discharged setting statidischarge hindenburg outer skin frame causing hydrogen ignite,36.08247422680412,62.0,1937,5,6,3,126
434,1937-05-20,,"Stuttgart, Germany",Deutsche Lufthansa,,,Heinkel He-70,D-UXUV,916,4.0,4.0,0.0,crashed takeoff,100.0,0.0,1937,5,20,3,140
435,1937-07-02,,"Off Lae, New Guinea",Private - Purdue Reasearch Foundation,,Lae - Howland Island,Lockheed 10E Electra,NR16020,1055,2.0,2.0,0.0,plane disappeared en route lae howland island aircraft flown higher expected due storms used extra fuel addition strong head winds encountered aircraft likely ran fuel ditched ocean 50 100 miles northwest howland island amelia earhart 40 navigator fred noonan killed,100.0,0.0,1937,7,2,4,183
436,1937-07-28,,"Hal, Belgium",KLM Royal Dutch Airlines,,Amsterdam - Paris,Douglas DC-2-115L,PH-ALF,1585,15.0,15.0,0.0,aircraft crashed potato field possibly struck lightning flight fire,100.0,0.0,1937,7,28,2,209
437,1937-08-02,,"Wadi Halfa, Sudan",Ala Littoria,,"Rome, Italy - Kartoum",Savoia-Marchetti SM73,I-SUSA,30014,9.0,9.0,0.0,crashed building takeoff,100.0,0.0,1937,8,2,0,214
438,1937-08-03,,"Off Cristobal, Panama",Pan American Grace Airways,,"Santiago, Chili - Cristobal, Panama",Sikorsky S-43,NC15065,4305,14.0,14.0,0.0,flying boat plunged ocean 20 miles cristobal plane probably struck water high speed destroyed immediate explosion fire,100.0,0.0,1937,8,3,1,215
439,1937-08-08,10:50,"Chilang Point, Bias Bay, China",China National Aviation Corporation,,Canton - Shanghi,Sikorsky S-43,,,11.0,3.0,0.0,forced ditch sea due bad weather one wing broke due high waves 8 passengers hung remaining wing rescued,27.27272727272727,8.0,1937,8,8,6,220
440,1937-08-10,04:40,"Daytona Beach, Florida",Eastern Air Lines,7,Chicago - Daytona,Douglas DC-2,NC-13739,1289,9.0,4.0,0.0,plane struck power pole taking daytona crashed ground 600 feet first point impact absence reasonable notice operating navigating aircraft object erected constituted hazard aircraft taking,44.44444444444444,5.0,1937,8,10,1,222
441,1937-08-23,,"San Luis, Argentina",Pan American Grace Airways,,Mendosa - Cordoba,Douglas DC-2,NC14298,,3.0,3.0,0.0,crashed burned dense fog enroute,100.0,0.0,1937,8,23,0,235
442,1937-08-27,,"Wau, Australia",Guinea Airways,,,Stinson SR-7 Reliant,VH-URC,,2.0,1.0,0.0,nan,50.0,1.0,1937,8,27,4,239
443,1938-03-23,,"Corsavy, France",Air France,,,Dewoitine D-338,F-AQBB,02,8.0,8.0,0.0,mail plane crashed pyrenees mountains en route,100.0,0.0,1938,3,23,2,82
444,1937-10-01,,"Phaleron Bay, Greece",Imperial Airways,,"Alexandria, Egypt  - Athens, Greece",Short Empire Flying Boat,G-ADVC,,14.0,2.0,0.0,crashed landed phaleron bay two passengers drowned poor visibility blamed accident,14.285714285714285,12.0,1937,10,1,4,274
445,1937-10-06,,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,,,Douglas DC-3,PH-ALS,,5.0,4.0,0.0,bronislaw hubermann celibrated polish violinist sightly injured,80.0,1.0,1937,10,6,2,279
446,1937-10-17,21:00,"Haydens Peak, Wyoming",United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19.0,19.0,0.0,plane crashed side mountain humpy ridge level flight 10 000 ft adverse weather conditions staticonditions encountered last portion flight rendered reception radio range signals unintelligible continuation flight mountainous country altitude higher mountains without aid ground visibility radio signals definitely identify position change weather caused approach unpredicted cold front,100.0,0.0,1937,10,17,6,290
447,1937-11-12,,"Mannheim, Germany",Deutsche Lufthansa,,Berlin - Mannheim,Heinkel He-111,D-AXAV,1830,12.0,10.0,0.0,hit ground prematurely attempting land,83.33333333333334,2.0,1937,11,12,4,316
448,1937-11-16,,"Ostende, Belgium",Sabena,,Cologne - Brussels - London,Junkers JU-52/3m,OO-AUB,5827,11.0,11.0,0.0,nan,100.0,0.0,1937,11,16,1,320
449,1937-11-26,,"Croydon, London",Deutsche Lufthansa,,,Junkers JU-52,D-AGAV,,3.0,3.0,0.0,nan,100.0,0.0,1937,11,26,4,330
450,1937-12-05,09:00,"Brindisi Harbor, Italy",Imperial Airways,,India - London,Short Empire Flying Boat,G-ADUZ,,19.0,2.0,0.0,flying boat crashed attempting take aircraft named cygnus,10.526315789473683,17.0,1937,12,5,6,339
451,1937-12-08,,"Saint Sauveur, France",Air France,,,Potez 621,F-AOTZ,4213,7.0,2.0,0.0,crashed poor weather conditions,28.57142857142857,5.0,1937,12,8,2,342
452,1937-12-24,17:30,"Kasperske Hory, Czechoslovakia",Air France,,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,F-AMYD,11,3.0,3.0,0.0,plane 10 minutes landing vienna told change course prague airport controller change took plane mountainous terrain snowy conditions plane impacted hutska hora mountain alitiude 3 300 feet cause never determined possibly naviational error political reasons,100.0,0.0,1937,12,24,4,358
453,1938-01-04,,"Frankfurt, Germany",Deutsche Lufthansa,,"Milan, Italy - Frankfurt, Germany",Junkers JU-52/3m,D-ABUR,5777,6.0,6.0,0.0,icing wing caused plane crash close plane destination,100.0,0.0,1938,1,4,1,4
454,1938-01-10,15:07,"Bozeman, Montana",Northwest Orient Airlines,2,Seattle - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10.0,10.0,0.0,aircraft crashed 12 miles northeast bozeman experiencing structural failure tail severe turbulence reported area time accident structural failure upper vertical fins rudders due flutter natural resonance period vibration resulted separation rudder fins loss control aircraft,100.0,0.0,1938,1,10,0,10
455,1938-01-11,19:40,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Honolulu - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7.0,7.0,0.0,aircraft exploded mid air crew attempted dump fuel emergency landing pago pago neither plane six crew members ever found aircraft named samoan clipper pan american first pilot captain edwin c musick killed,100.0,0.0,1938,1,11,1,11
456,1938-01-12,,"North Pine, Ontario, Canada",General Airways,,Sioux Lookout - Hudson,Stinson Reliant,CF-BEI,,1.0,1.0,0.0,crashed rugged terrain en route,100.0,0.0,1938,1,12,2,12
457,1938-02-02,20:40,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,,,Consolidated PBY-2 / Consolidated PBY-2,04062 / 0463,,14.0,11.0,0.0,two aircraft crashed mid air heavy rain darkness crashed sea,78.57142857142857,3.0,1938,2,2,2,33
458,1938-02-05,,"Kandalaksha, Russia",TsAGI,,Moscow - Murmansk,V6 (airship),CCCP-V6,,19.0,13.0,0.0,airship crashed trial flight preparation rescuing russian scientists ice floe greenland airship crashed side mountain,68.42105263157895,6.0,1938,2,5,5,36
459,1938-02-09,,"Marseille, France",Air France,,"Marseille, France - Ajaccio, Corsica",Lioré-et-Olivier H-242,F-ANPB,05,12.0,8.0,0.0,flying boat struck breakwater 60 miles hour burst flames attempting take,66.66666666666666,4.0,1938,2,9,2,40
460,1938-02-09,,"Guadalupe, Mexico",Mexicana,,Test flight,Lockheed 10 Electra,XA-BAS,,2.0,2.0,0.0,crashed second test flight,100.0,0.0,1938,2,9,2,40
461,1938-02-22,,"Pontoise, France",Deutsche Lufthansa,,"Berlin, Germany - Paris, France",Junkers JU.52,D-APAR,,3.0,3.0,0.0,crashed fog within miles destination near bourget airport,100.0,0.0,1938,2,22,1,53
462,1938-03-01,21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,San Francisco - Burbank,Douglas DC-2-112,NC13789,1299,9.0,9.0,0.0,crashed high sierra encountering severe weather front en route pilot radioed ice forming dc 2 wings neared tehachapi mountains near bakersfield turning back towards north land fresno aircraft sheared tops pine trees crashed 200 feet summit wreckage found 6 12 38,100.0,0.0,1938,3,1,1,60
463,1938-03-07,,"Datia, India",Air France,,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7.0,7.0,0.0,crashed burst flames shortly taking dum dum,100.0,0.0,1938,3,7,0,66
464,1938-03-08,,"Somerton, Australia",Australian National Airways,,,De Havilland DH-60,VH-UNU,,1.0,1.0,0.0,nan,100.0,0.0,1938,3,8,1,67
465,1938-04-12,,"Near Formia, Italy",Ala Littoria,,,Junkers JU-52,I-BAUS,4063,19.0,19.0,0.0,crashed mountains,100.0,0.0,1938,4,12,1,102
466,1938-05-05,,"Balbuena, Mexico",Lineas Aéreas Mineras,,Mexico City - Juarez,Lockheed Vega 5B,XA-BFR,124,6.0,1.0,0.0,crashed en route,16.666666666666664,5.0,1938,5,5,3,125
467,1938-05-10,,"Mangere, New Zealand",United Airways of New Zealand,,,Lockheed 10 Electra,ZK-AFC,,2.0,2.0,0.0,nan,100.0,0.0,1938,5,10,1,130
468,1938-05-16,02:07,"Near Saugus, California",Northwest Orient Airlines,,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,NC17394,1439,9.0,9.0,0.0,struck stroh peak 3 300 feet mint canyon 27 minutes taking burbank airport aircraft struck ridge bounded ravine struck second ridge broke burst flames,100.0,0.0,1938,5,16,0,136
469,1938-05-22,13:40,"Sao Paulo, Brazil",Cruzeiro do Sul,,,Junkers JU-52/3m,PP-CBC,5453,17.0,2.0,0.0,mail plane crashed taking,11.76470588235294,15.0,1938,5,22,6,142
470,1938-05-24,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10.0,10.0,0.0,uncontrollable fire developed right engine pilot decided make emergency landing rather try reach cleveland airport plane struck trees level flight 8 5 miles east cleveland airport fire right engine accessory section resulted failure cylinder barrel fed right engine oil supply,100.0,0.0,1938,5,24,1,144
471,1938-05-27,,Germany,Deutsche Lufthansa,,,Heinkel 116,D-ATIO,,3.0,3.0,0.0,nan,100.0,0.0,1938,5,27,4,147
472,1938-05-27,,"Alberno Canal, BC, Canada",Ginger Coote Airways,,,Fairchild 51,CF-AUX,,1.0,1.0,0.0,nan,100.0,0.0,1938,5,27,4,147
473,1938-06-08,,Tanganyika,Wilson Airways,,,De Havilland DH-85,VP-KBE,,3.0,3.0,0.0,nan,100.0,0.0,1938,6,8,2,159
474,1938-06-19,,"Mount  Mercedario, Chile",Pan American Grace Airways,,,Douglas DC-2,NC14272,,4.0,4.0,0.0,hour leaving santiago radio contact flight lost crashed high andes found february 1941 indians plundered aircraft dead passengers looking valuables,100.0,0.0,1938,6,19,6,170
475,1938-07-08,02:56,"Billings, Montana",Northwest Orient Airlines,4,Seattle - Chicago,Lockheed 14 Super Electra,NC17383,,10.0,10.0,0.0,taking billings airplane left ground stalled condition pilot attempted recover use full emergency power emergency power available improper adjustment stop placed quadrant propeller pitch control levers preventing levers going full low pitch position result stalled condition airplane fell right wing crashed point 1 100 feet beyond ne runway pilot cut switch prior impact,100.0,0.0,1938,7,8,4,189
476,1938-07-14,,"Off Sardinia, Italy",Ala Littoria,,Cagliari - Rome,Savoia Marchetti S-66,I-VOLO,15013,20.0,20.0,0.0,flying boat crashed tyrrhenian sea collapse wing,100.0,0.0,1938,7,14,3,195
477,1938-07-22,,"Stulpica, Romania",LOT Polish Airlines,,"Warsaw, Poland - Bucharest, Romania",Lockheed 14H Super Electra,SP-BNG,1432,14.0,14.0,0.0,crashed struck lightning,100.0,0.0,1938,7,22,4,203
478,1938-07-24,13:00,Near Bogota Colombia,Military - Colombian Army,,,Curtiss-Wright Hawk,,,1.0,1.0,52.0,one aircraft squadron performing aerobatics large crowd crashed grandstands gust wind caused aircraft lose control looping maneuver,100.0,0.0,1938,7,24,6,205
479,1938-07-27,,"Kisumu, Kenya",Imperial Airways,,Kisumu - Alexandria,Armstrong-Withworth Atlanta,G-ABTG,AW-785,4.0,4.0,0.0,flew hillside soon takeoff kisumu ship named amalthea,100.0,0.0,1938,7,27,2,208
480,1938-07-29,04:11,PacifiOcean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15.0,15.0,0.0,plane crashed ocean en route guam manilla last known position 12 27 n 130 40 w 582 nm east southeast manila 04 00 gct cause unknown plane may hijacked japanese flown truk island crew passengers murdered aircraft named hawaii clipper,100.0,0.0,1938,7,29,4,210
481,1938-08-10,,"Shishijima, Japan",Dai Nippon,,,Douglas DF-151,J-ANES,,6.0,6.0,0.0,nan,100.0,0.0,1938,8,10,2,222
482,1938-08-10,,"Debrecen, Hungary",,,,Ford Tri-motor,,,12.0,12.0,0.0,plane carrying hungarian journalists,100.0,0.0,1938,8,10,2,222
483,1938-08-13,,"Kiel, Germany",CSA Czech Airlines,,"Prague - Paris, France",Savoia-Marchetti SM73,OK-BAG,,17.0,16.0,0.0,crashed black forest mountains poor weather conditions one stewardess survived,94.11764705882352,1.0,1938,8,13,5,225
484,1938-08-15,,"Guanabara, Brazil",Syndicato Condor,,Guanabara - Victoria,Junkers JU-52/3m,PP-CAT,4024,9.0,9.0,0.0,flew mountain wave taking went dive crashed guanabara bay,100.0,0.0,1938,8,15,0,227
485,1938-08-18,,"Bucharest, Romania",LOT Polish Airlines,,,Lockheed 14 Electra,SP-BNJ,1424,7.0,7.0,0.0,caught fire ground looping,100.0,0.0,1938,8,18,3,230
486,1938-08-18,,"Montnago, Italy",Macchi,,Sightseeing,Macchi C-94,I-NILO,94001,13.0,13.0,0.0,sea plane crashed shortly taking,100.0,0.0,1938,8,18,3,230
487,1938-08-24,08:00,"Wangmoon, China",China National Aviation Corporation,,Hong Kong - Chungking,Douglas DC-2,32,1369,17.0,14.0,0.0,en route hong kong chungking aircraft shot japanese military fighters aircraft named kweilin,82.35294117647058,3.0,1938,8,24,2,236
488,1938-08-29,,"Innisfail, Australia",North Queensland Airways,,,De Havilland DH-84,VH-UXK,,9.0,5.0,0.0,crashed cane field attempting land pilot swerved avoid tractor,55.55555555555556,4.0,1938,8,29,0,241
489,1938-10-01,,"Off Bathurst, Gambia",Deutsche Lufthansa,,,Dornier DO.18,,,4.0,4.0,0.0,nan,100.0,0.0,1938,10,1,5,274
490,1938-10-01,,"Grisons, Switzerland",Deutsche Lufthansa,,,Junkers JU-52/3m,D-AVFB,5928,13.0,13.0,0.0,missing one postal bag found glacier,100.0,0.0,1938,10,1,5,274
491,1938-10-10,,"Soest, Germany",Sabena,,Brussells - Berlin,Savbia-Marchetti  S-73P,OO-AGT,,20.0,20.0,0.0,aircraft broke midair crashed ground airport,100.0,0.0,1938,10,10,0,283
492,1938-10-25,,"Mt. Dandenong, Australia",Australian National Airways,,Adelaide - Melbourne,Douglas DC-2-112,VH-UYC,1566,18.0,18.0,0.0,crashed mt daodenong en route,100.0,0.0,1938,10,25,1,298
493,1938-11-02,,"Somerset, England",British Airways,,,Lockheed 14 Electra,CF-TCL,,2.0,2.0,0.0,nan,100.0,0.0,1938,11,2,2,306
494,1938-11-04,10:50,"Channel Islands, Jersey",Jersey Airways,,Channel Islands - Southhampton,de Havilland DH-86,G-ACZN,2316,14.0,14.0,1.0,caught fire crashed field two minutes taking farm worker crushed death wreckage landed,100.0,0.0,1938,11,4,4,308
495,1938-11-14,18:41,"Schiphol, Amsterdam",KLM Royal Dutch Airlines,,Berlin-Amsterdam,Douglas DC-3,PH-ARY,2021,19.0,6.0,0.0,aircraft flew ground approach poor visibility first officer commander military flying school soesterberg,31.57894736842105,13.0,1938,11,14,0,318
496,1938-11-18,00:51,"Regina, Saskatchewan, Canada",Trans Canada Air Lines,,Winnipeg - Regina - Vancouver,Lockheed 14 Electra,CF-TCL,,2.0,2.0,0.0,mail plane crashed several minutes taking regina,100.0,0.0,1938,11,18,4,322
497,1938-11-26,,"Bathurst, Gambia",Deutsche Lufthansa,,,Junkers JU90V2,D-AIVI,4914,15.0,11.0,0.0,takeoff aircraft hit palm tree burst flames due engine failure,73.33333333333333,4.0,1938,11,26,5,330
498,1938-11-27,,"Bagdad, Iraq",Imperial Airways,,,Short Empire Flying Boat,G-AETW,,6.0,4.0,0.0,flying boat crashed lake ramadi,66.66666666666666,2.0,1938,11,27,6,331
499,1938-11-29,05:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7.0,7.0,0.0,aircraft ran fuel ditched ocean failure pilot definitely establish position aircraft standard orientation procedures within reasonable time intersecting leg oakland radio range company flight dispatchers charged responsibilities directing operation trip properly safeguard flight resulting forced landing aircraft sea due exhausted fuel supply,100.0,0.0,1938,11,29,1,333
500,1938-12-08,,"Off Kubashima, Japan",Japan Aviation Corporation,,,Nakajima DC-2,,,12.0,10.0,0.0,crashed sea near okinawa due engine failure,83.33333333333334,2.0,1938,12,8,3,342
501,1938-12-09,,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,,Instructional Flight,Lockheed 14-WF62 Super Electra,PH-APE,1413,4.0,4.0,0.0,struck dyke near schiphol airport caught fire taking,100.0,0.0,1938,12,9,4,343
502,1938-12-12,,"Darwin, Australia",Qantas,,,Short S23 ‘C’ Class flying boat,G-AEUH,,13.0,13.0,0.0,shot japanese aircraft owned imperial airways operated qanta,100.0,0.0,1938,12,12,0,346
503,1939-01-07,,"Paris, France",Swissair,,Zurich - Geneva - Paris,Douglas DC-2-115B,HB-ITA,1329,9.0,5.0,0.0,aircraft crashed attempting land,55.55555555555556,4.0,1939,1,7,5,7
504,1939-01-13,21:15,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4.0,4.0,0.0,aircraft crashed 2 650 feet past runway boundry taking fire considerable intensity developed prior crash cockpit aircraft immediate vicinity gasoline cross feed valve possible determine exact origin source fire,100.0,0.0,1939,1,13,4,13
505,1939-01-13,,"Rio de Janeiro, Brazil",Syndicato Condor,,,Junkers JU-52/3m,PP-CAY,4042,9.0,9.0,0.0,seaplane crashed flames mountains northeast rio de janeiro,100.0,0.0,1939,1,13,4,13
506,1939-01-18,,"Katherine, Australia",Guinea Airways,,Katherine - Adelaide,Lockheed 14 Electra,VH-ABI,,4.0,4.0,0.0,crashed katherine river storm,100.0,0.0,1939,1,18,2,18
507,1939-01-21,12:30,AtlantiOcean between N.Y. and Bermuda,Imperial Airways,,New York City - Bermuda,Short S-23 (flying boat),G-ADUU,S-812,13.0,3.0,0.0,en route aircraft ditched broke two sank atlantiocean 285 miles se long island new york complete loss power two inner engines partial loss power two outer engines due carburetor icing aircraft named cavalier,23.07692307692308,10.0,1939,1,21,5,21
508,1939-02-24,,Mediterranean Sea,Deutsche Lufthansa,,,Junkers JU-52/3m,D-ALUS,,10.0,10.0,0.0,crashed mediterranean sea,100.0,0.0,1939,2,24,4,55
509,1939-03-14,,"Haren, Belgium",Sabena,,,Junkers JU-52,OO-AUA,,3.0,3.0,0.0,nan,100.0,0.0,1939,3,14,1,73
510,1939-03-16,,"Manzanares, Colombia",Deutsche Lufthansa,,,Junkers JU-86,,,8.0,8.0,0.0,nan,100.0,0.0,1939,3,16,3,75
511,1939-03-18,,"Near Adler, Washington",Boeing Aircraft Company,-,Test flight,Boeing 307 Stratoliner,NX19901,1994,10.0,10.0,0.0,aircraft crashed tail broke dutch engineer g von baumhauer among killed famous helicopter pioneer first came tail rotor main rotor configuration use today strructural failure wings horizontal tail surfaces due imposition loads thereon excess designed failure occurring abrupt pull dive following recovery inadvertent spin,100.0,0.0,1939,3,18,5,77
512,1940-08-09,,"Hannover, Germany",Deutsche Lufthansa,,,Douglas DC-2-115H,D-AIAV,1366,13.0,2.0,0.0,pilot error,15.384615384615383,11.0,1940,8,9,4,222
513,1941-06-03,17:00,AtlantiOcean,Great Western and Southern Air Lines,,,de Havilland DH-84 Dragon,G-ACPY,6076,6.0,6.0,0.0,shot 111 german military aircraft,100.0,0.0,1941,6,3,1,154
514,1939-03-26,14:48,"Oklahoma City, Oklahoma",Braniff Airlines,1,Chicago - Dallas,Douglas DC-2-112,NC13727,1253,12.0,8.0,0.0,explosion engine takeoff blew two halves cowl open creating excessive drag causing left wing drop captain tried circle back wing impacted embankment along section line road crashed 100 yards inside boundary either hot metal engines source ignited fuel spilling ruptured tank cabin quickly engulfed flames initial cause explosion cylinder blow problem particular engine caused problems two aircraft twa united dc 2 landed safely,66.66666666666666,4.0,1939,3,26,6,85
515,1939-04-03,,"Near Marrakech, Morocco",Air France,,,Caudron C.635 Simoun,F-AOOT,7372,9.0,9.0,0.0,crashed mountain,100.0,0.0,1939,4,3,0,93
516,1939-05-01,,Mocambique,Imperial Airways,,,Short Empire Flying Boat,G-ADVD,,6.0,2.0,0.0,nan,33.33333333333333,4.0,1939,5,1,0,121
517,1939-05-02,,"Near Marrakech, Morocco",Air France,,"Casablanca, Morocco - Dakar, Senegal",Dewoitine D-338,F-ARIC,25,9.0,9.0,0.0,crashed due icing,100.0,0.0,1939,5,2,1,122
518,1939-05-08,12:00,"Guayaquil, Ecuador",Military - Ecuadorian Air Force,,,Curtiss-Wright C-14 Osprey,,,1.0,1.0,22.0,performing aerobatics aircraft lost control crashed numerous building near college,100.0,0.0,1939,5,8,0,128
519,1939-06-10,,"Vlissingen, The Netherlands",KLM Royal Dutch Airlines,,,Koolhoven FK.43,PH-AJK,,3.0,3.0,0.0,nan,100.0,0.0,1939,6,10,5,161
520,1939-07-20,,"Konstanz, Switzerland",Swissair,,"Vienna, Austria - Zurich, Switzerland",Junkers JU86 Z-2,HB-IXA,086/0951,6.0,6.0,0.0,aircraft crashed engine fire,100.0,0.0,1939,7,20,3,201
521,1939-08-04,,"Barcelona, Spain",Deutsche Lufthansa,,"Toulouse, France - Casablanca, Morocco",Junkers JU-52/3m,D-AUJG,5942,7.0,7.0,0.0,crashed llaveria mountains heavy fog caught fire plane hit highest peak mountains,100.0,0.0,1939,8,4,4,216
522,1939-08-13,16:35,"Rio de Janerio, Brazil",Pan American World Airways,,Miami - Rio de Janerio,Sikorsky S43 (flying boat),NC16933,,16.0,14.0,0.0,plane lost power left engine yawed left started descending turn direction plane continued lose altitude turn sharper steeper angle struck caisson anchored right angles small island harbor immediately adjacent landing approach path loss power left engine landing approach necessitating attempted landing extremely hazardous conditions,87.5,2.0,1939,8,13,6,225
523,1939-08-15,,"Off Copenhagen, Denmark",British Airways,,London - Hamburg - Copenhagen,Lockheed 10 Electra,G-ASEY,,6.0,5.0,0.0,crashed sea fire aboard,83.33333333333334,1.0,1939,8,15,1,227
524,1939-08-28,,"Lahore, India",Indian National Airways,,,De Havilland D-84,VT-AEL,,2.0,2.0,0.0,nan,100.0,0.0,1939,8,28,0,240
525,1939-08-30,,"Hannover, Germany",Deutsche Lufthansa,,Berlin - Hanover - Cologne - London,Junkers JU-52/3m,D-AFOP,5800,7.0,7.0,0.0,aircraft crashed taking hanover visibility poor low fog covering runway pilot searching proper flight path plane veered towards building still 40 meters ground pilot tried raise plane trying turn left time lost control crashed plane caught fire passengers pilots lufthansa,100.0,0.0,1939,8,30,2,242
526,1939-09-26,,North Sea,KLM Royal Dutch Airlines,,Stockholm - Amsterdam,Douglas DC-3,PH-ASM,2142,13.0,1.0,0.0,one swedish passenger killed plane attacked german fighters plane able land safely amsterdam,7.6923076923076925,12.0,1939,9,26,1,269
527,1939-11-20,,"Gosport, England",British Airways,,,Airspeed Oxford,G-AFFM,,2.0,2.0,0.0,nan,100.0,0.0,1939,11,20,0,324
528,1939-12-18,,South of Gibraltar,Iberia Airlines,,Alcante - Morocco,Junkers JU-52,M-CABA,5854,10.0,10.0,0.0,shot british anti aircraft fire crashed 6 miles south europa point,100.0,0.0,1939,12,18,0,352
529,1939-12-21,,Off Malta-Luqa,Imperial Airways,,Egypt - England,Lockheed 14 Super Electra,G-AFYU,1444,11.0,5.0,0.0,crashed sea,45.45454545454545,6.0,1939,12,21,3,355
530,1939-12-24,,"Mogador, Morocco",Linee Aeree Italiane,,Rome - Rio de Janerio,Savoia-Marchetti SM83,I-ARPA,34017,7.0,7.0,0.0,crashed storm attempting make forced landing,100.0,0.0,1939,12,24,6,358
531,1940-01-15,,"Denpasar, Indonesia",KNILM,,,Lockheed 14 Super Electra,PK-AFO,1415,9.0,8.0,0.0,nan,88.88888888888889,1.0,1940,1,15,0,15
532,1940-03-01,,Gulf of Oman,Imperial Airways,,Jask to Sharjah,Handley Page HP-42,G-AAGX,HP42/1,8.0,8.0,0.0,crashed persian gulf en route trace aircraft named hannibal,100.0,0.0,1940,3,1,4,61
533,1940-04-22,,"Near Loch Lomond, Scotland",British Overseas Airways,,"Perth, Scotland - London, England",Lockheed 14 Super Electra,G-AFKD,1484,3.0,3.0,0.0,nan,100.0,0.0,1940,4,22,0,113
534,1940-06-02,,"El Segundo, California",Douglas Aircraft Company,,Test flight,Douglas DC-3,,,5.0,5.0,0.0,crashed burned government test flight,100.0,0.0,1940,6,2,6,154
535,1940-06-14,14:00,"Off Prangli Island, Gulf of Finland, Estonia",Aero O-Y,,"Tallinn, Estonia - Helsinki, Finland",Junkers JU-52/3mge,OH-ALL,5494,9.0,9.0,0.0,plane en route shot two soviet tupolev sb 2 bombers aircraft crashed 2 3 nm offshore prangli island near keri lighthouse aircraft named kaleva,100.0,0.0,1940,6,14,4,166
536,1940-06-20,,"Near Ouistreham, France",Air France,,,Dewoitine D-338,F-ARTD,22,1.0,1.0,0.0,inadvertently shot french anti aircraft fire,100.0,0.0,1940,6,20,3,172
537,1940-07-07,,Gulf of Tonkin,Air France,,,Dewoitine D-338,F-AQBA,1,13.0,11.0,0.0,shot japanese military fighter,,2.0,1940,7,7,6,189
